titulo,localizacion,precio,numero_calle,metros_cuadrados,habitaciones,baños,parcela_m2,plaza_garaje,estado,orientacion,año_construccion,calefaccion,planta,ascensor,LATITUD,LONGITUD
Piso en venta en calle de Lagasca,Castellana,1195000,,133,3.0,2.0,,,,sur,1967.0,,Planta 2ª interior,True,40°25'14.92'' N,3°41'9.52'' W
 Chalet pareado en venta en ronda de Sobradiel,Conde Orgaz-Piovera,2190000,,380,7.0,5.0,196.0,True,Segunda mano/buen estado,sur,1994.0,Gas natural,,,40°27'3.53'' N,3°38'43.14'' W
Piso en venta en calle de Noblejas,Palacio,1595000,,164,3.0,3.0,,,Segunda mano/buen estado,,,,Planta 2ª exterior,True,40°25'0.46'' N,3°42'43.72'' W
Ático en venta en avenida de Machupichu,Conde Orgaz-Piovera,870000,,141,3.0,2.0,,True,Segunda mano/buen estado,este,1996.0,Gas natural,Planta 4ª exterior,True,40°27'19.63'' N,3°37'24.69'' W
Piso en venta en calle de Villanueva,Recoletos,3750000,,238,4.0,3.0,,,Segunda mano/buen estado,,,Gas natural,Planta 1ª exterior,True,40°25'22.57'' N,3°41'22.93'' W
Piso en venta en calle de Fortuny,Almagro,2750000,,241,4.0,4.0,,True,Segunda mano/buen estado,sur,1969.0,,Planta 6ª exterior,True,40°25'41.82'' N,3°41'28.29'' W
Piso en venta en calle de Goya,Goya,3600000,,379,5.0,5.0,,,Segunda mano/buen estado,sur,1955.0,Calefacción individual,Planta 3ª exterior,True,40°25'33.09'' N,3°41'22.57'' W
 Casa o chalet independiente en venta en calle de Cambrils,Mirasierra,2460000,,753,7.0,6.0,750.0,True,Segunda mano/buen estado,sur,,Calefacción individual,,,40°29'15.06'' N,3°42'31.53'' W
Piso en venta en plaza Manolete,Cuatro Caminos,1175000,,165,3.0,3.0,,True,Segunda mano/buen estado,,1967.0,Calefacción central,Planta 15ª exterior,True,40°27'15.13'' N,3°41'28.99'' W
Piso en venta en calle de Villalar,Recoletos,2490000,,207,4.0,5.0,,,Segunda mano/buen estado,oeste,1900.0,Calefacción individual,Planta 5ª exterior,True,40°25'14.81'' N,3°41'24.54'' W
Piso en venta en calle de Hermosilla,Goya,1420000,,115,2.0,3.0,,,Segunda mano/buen estado,,1930.0,Gas natural,Planta 1ª exterior,True,40°25'36.02'' N,3°41'21.57'' W
Piso en venta en calle de Serrano,Castellana,4400000,,306,4.0,5.0,,,Segunda mano/buen estado,oeste,,,Planta 3ª exterior,True,40°25'14.99'' N,3°41'19.64'' W
Dúplex en venta en calle de Santiago,Palacio,1600000,,216,2.0,3.0,,,Segunda mano/buen estado,sur,1880.0,Calefacción individual,Planta 5ª exterior,True,40°24'57.9'' N,3°42'35.06'' W
Piso en venta en calle de Noblejas,Palacio,1595000,,164,3.0,3.0,,,Segunda mano/buen estado,norte,1989.0,Calefacción individual,Planta 2ª exterior,True,40°25'0.46'' N,3°42'43.72'' W
Piso en venta en calle de Serrano,Bernabéu-Hispanoamérica,1950000,,330,5.0,4.0,,True,Segunda mano/buen estado,este,,Calefacción central,Planta 5ª exterior,True,40°25'14.99'' N,3°41'19.64'' W
Piso en venta en calle de Hermosilla,Goya,1420000,,114,2.0,2.0,,True,Segunda mano/buen estado,este,,Calefacción individual,Planta 1ª exterior,True,40°25'36.02'' N,3°41'21.57'' W
Piso en venta en calle de Azcona,Guindalera,490000,,69,3.0,,,,,oeste,1960.0,Calefacción individual,Planta 6ª interior,True,40°25'58.64'' N,3°40'20.29'' W
Piso en venta en calle de Viriato,Almagro,1680000,,186,3.0,3.0,,,Segunda mano/buen estado,,,Calefacción central,Planta 3ª exterior,True,40°26'9.94'' N,3°42'14.05'' W
Ático en venta en calle de Villalar,Recoletos,2490000,,200,4.0,4.0,,,Segunda mano/buen estado,oeste,1900.0,Gas natural,Planta 5ª interior,True,40°25'14.81'' N,3°41'24.54'' W
Piso en venta en avenida de Burgos,Castilla,600000,,123,4.0,2.0,,,Segunda mano/buen estado,este,1988.0,Gas natural,Planta 13ª exterior,True,40°28'9.77'' N,3°40'36.82'' W
Piso en venta en calle de Hermosilla,Fuente del Berro,637000,,107,2.0,2.0,,,Segunda mano/buen estado,norte,1960.0,Calefacción central,Planta 1ª exterior,True,40°25'36.02'' N,3°41'21.57'' W
Piso en venta en calle de Esparteros,Sol,1790000,,214,2.0,2.0,,,Segunda mano/buen estado,,1880.0,Eléctrica,Planta 4ª exterior,True,40°24'58.79'' N,3°42'17.99'' W
Piso en venta en calle de Maldonado,Castellana,3500000,,316,3.0,4.0,,,Segunda mano/buen estado,sur,1925.0,Gas,Planta 3ª exterior,True,40°26'2.78'' N,3°41'10.13'' W
