centro_nro_registro,centro_tipo,dependecia_funcional,dependecia_patrimonial,oferta_asistecial,municipio_nombre,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_informacon_adicional,direccion_codigo_postal,localizacion_coordenada_x,localizacion_coordenada_y,latitud,longitud
CH0006,Hospital general,Privado No Benéfico,Privados,Neurología,Madrid,CALLE,de Arturo Soria,17,,28027,445713,4476806,40.44013079389527,-3.640105780827297
CH0008,Hospital general,Privado No Benéfico,Privados,Cirugía cardiaca,Madrid,CALLE,del Maestro Ángel Llorca,8,,28003,439469,4477302,40.44416788696041,-3.7137717979152494
CH0009,Hospital general,Privado No Benéfico,Privados,Radiodiagnóstico,Madrid,CALLE,de Pléyades,25,(ARAVACA),28023,433512,4479432,40.46290042907709,-3.7842328706408996
CH0011,Hospital general,Privado No Benéfico,Privados,Reumatología,Madrid,AVDA,de los Reyes Católicos,2,,28040,438934,4476536,40.437228328847915,-3.7200063350400665
CH0012,Hospital general,Privado No Benéfico,Privados,Endocrinología,Madrid,CALLE,de Arturo Soria,103-105-107,,28043,444683,4477968,40.45053081545279,-3.6523511163028597
CH0013,Hospital especializado,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,de José Silva,7,,28043,444242,4478477,40.455086677912334,-3.6575961862110318
CH0017,Hospital general,Privado No Benéfico,Privados,Cirugía maxilofacial,Madrid,CALLE,de Juan Bravo,49,,28006,442633,4476000,40.432663167333644,-3.676347402488338
CH0018,Hospital general,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Juan Bravo,39,,28006,442633,4476000,40.432663167333644,-3.676347402488338
CH0019,Otros centros con internamiento,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Endocrinología,Madrid,CALLE,de la Granja,8,,28003,439194,4477479,40.445742307366324,-3.7170312572511177
CH0020,Otros centros con internamiento,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Medicina interna,Madrid,CALLE,de Sinesio Delgado,8-10,,28029,441186,4480706,40.47495579261869,-3.6938420566297654
