ID,Título,Localización,Precio,Características Básicas,Características Extras
102043012,Piso en venta en Nueva España,Chamartín,1650000,"['181 m² construidos', '2 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1964', 'Bajo exterior', 'Sin ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
106330563,"Dúplex en venta en calle de Montalbán, 11",Jerónimos,2700000,"['220 m² construidos', '2 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Orientación sur', 'Construido en 2020', 'Calefacción individual', 'Bajo exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'En trámite']"
97875752,Chalet adosado en venta en paseo de La Habana,Nueva España,3110000,"['Chalet adosado', '430 m² construidos', '6 habitaciones', '5 baños', 'Parcela de 300 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Construido en 1987', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Consumo:', 'Emisiones:']"
106107690,Ático en venta en Adelfas,Retiro,880000,"['175 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Gas natural', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'En trámite']"
106211397,Chalet adosado en venta en paseo de La Habana,Nueva España,3110000,"['Chalet adosado', '3 plantas', '395 m² construidos', '5 habitaciones', '6 baños', 'Parcela de 431 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación norte, sur', 'Construido en 1987', 'Calefacción individual']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año']"
105501144,Piso en venta en calle de Castelló,Castellana,2250000,"['230 m² construidos', '3 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Gas natural', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
104281658,Casa o chalet independiente en venta en Mirasierra,Fuencarral,2460000,"['Casa o chalet independiente', '3 plantas', '753 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 750 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción individual']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
102911946,Piso en venta en calle de Villanueva,Recoletos,3750000,"['238 m² construidos', '4 habitaciones', '3 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Gas natural', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
104952998,Piso en venta en calle del Duque de Sesto,Goya,1290000,"['133 m² construidos', '2 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1941', 'Calefacción central: Gas', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
105449412,Piso en venta en calle de Castelló,Castellana,1195000,"['117 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1980', 'Calefacción central: Gas', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
103666203,N/A,N/A,N/A,[],[]
106264579,Piso en venta en calle de Alfonso XII,Jerónimos,1550000,"['165 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación este', 'Planta 1ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
105505309,Piso en venta en calle de Núñez de Balboa,Castellana,3650000,"['340 m² construidos, 300 m² útiles', '5 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1954', 'Calefacción central: Gas', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Zonas verdes', 'Consumo:', 'Emisiones:']"
105003804,N/A,N/A,N/A,[],[]
106016508,Chalet adosado en venta en calle de las Petunias,Palomas,1425000,"['Chalet adosado', '349 m² construidos', '6 habitaciones', '4 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2000', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
105451572,Chalet pareado en venta en avenida de las Azaleas,Palomas,2050000,"['Chalet pareado', '4 plantas', '334 m² construidos', '5 habitaciones', '5 baños', 'Parcela de 400 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, oeste', 'Construido en 2007', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
105036254,Piso en venta en calle de Noblejas,Palacio,1595000,"['164 m² construidos', '3 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Planta 2ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
105725481,Piso en venta en calle de Hilarión Eslava,Gaztambide,1200000,"['178 m² construidos, 145 m² útiles', '3 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1955', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
96982668,Casa o chalet independiente en venta en calle de Zumárraga,El Plantío,2950000,"['Casa o chalet independiente', '800 m² construidos', '6 habitaciones', '6 baños', 'Parcela de 3.563 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero']","['Aire acondicionado', 'Jardín', 'En trámite']"
